GEO_ID,NAME,S2301_C01_001E,S2301_C01_021E,S2301_C01_034E,id,ratio
Geography,Geographic Area Name,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,,
0400000US12,Florida,17577024,12246804,3361268,0US12,0.696750713
0500000US12001,"Alachua County, Florida",231115,171541,36593,12001,0.742232222
0500000US12003,"Baker County, Florida",22038,16825,4013,12003,0.763454034
0500000US12005,"Bay County, Florida",147582,107736,36674,12005,0.730007725
0500000US12007,"Bradford County, Florida",23090,16938,4530,12007,0.733564314
0500000US12009,"Brevard County, Florida",504648,337130,108463,12009,0.668049809
0500000US12011,"Broward County, Florida",1571085,1160213,316287,12011,0.738478822
0500000US12013,"Calhoun County, Florida",11245,8253,1833,12013,0.733926189
0500000US12015,"Charlotte County, Florida",165503,86420,28168,12015,0.522165761
0500000US12017,"Citrus County, Florida",132040,72238,21381,12017,0.54709179
0500000US12019,"Clay County, Florida",172132,126438,44063,12019,0.734540934
0500000US12021,"Collier County, Florida",316475,182598,42940,12021,0.576974485
0500000US12023,"Columbia County, Florida",55798,39309,12257,12023,0.704487616
0500000US12027,"DeSoto County, Florida",28293,19221,3043,12027,0.679355318
0500000US12029,"Dixie County, Florida",14025,9501,2053,12029,0.677433155
0500000US12031,"Duval County, Florida",783297,598181,170325,12031,0.76367074
0500000US12033,"Escambia County, Florida",258792,186803,59763,12033,0.721826795
0500000US12035,"Flagler County, Florida",96871,57971,18320,12035,0.598435032
0500000US12037,"Franklin County, Florida",10507,7165,1639,12037,0.681926335
0500000US12039,"Gadsden County, Florida",35542,25581,6019,12039,0.719740026
0500000US12041,"Gilchrist County, Florida",14814,10075,2968,12041,0.680099905
0500000US12043,"Glades County, Florida",10653,6905,1316,12043,0.648174223
0500000US12045,"Gulf County, Florida",13129,8978,2635,12045,0.68382969
0500000US12047,"Hamilton County, Florida",11593,8656,1610,12047,0.746657466
0500000US12049,"Hardee County, Florida",19602,14080,2584,12049,0.718294052
0500000US12051,"Hendry County, Florida",30042,22584,5383,12051,0.751747553
0500000US12053,"Hernando County, Florida",160677,101193,34904,12053,0.629791445
0500000US12055,"Highlands County, Florida",85701,46422,13164,12055,0.541673959
0500000US12057,"Hillsborough County, Florida",1158276,879663,217814,12057,0.759458885
0500000US12059,"Holmes County, Florida",16240,11520,2764,12059,0.709359606
0500000US12061,"Indian River County, Florida",135938,77936,23323,12061,0.57332019
0500000US12063,"Jackson County, Florida",40309,28440,7986,12063,0.705549629
0500000US12065,"Jefferson County, Florida",12207,8183,2185,12065,0.670353076
0500000US12067,"Lafayette County, Florida",6972,5212,1081,12067,0.747561675
0500000US12069,"Lake County, Florida",311433,196905,62406,12069,0.632254771
0500000US12071,"Lee County, Florida",635599,390780,109752,12071,0.614821609
0500000US12073,"Leon County, Florida",242466,179460,37442,12073,0.74014501
0500000US12075,"Levy County, Florida",35009,22859,6411,12075,0.652946385
0500000US12077,"Liberty County, Florida",6886,5115,1015,12077,0.742811502
0500000US12079,"Madison County, Florida",15068,10540,2917,12079,0.69949562
0500000US12081,"Manatee County, Florida",330869,207474,57599,12081,0.627057839
0500000US12083,"Marion County, Florida",308998,188447,53849,12083,0.609864789
0500000US12085,"Martin County, Florida",135237,80528,24167,12085,0.595458344
0500000US12086,"Miami-Dade County, Florida",2204401,1641472,384700,12086,0.74463403
0500000US12087,"Monroe County, Florida",71157,49553,13266,12087,0.696389674
0500000US12089,"Nassau County, Florida",73015,49632,13937,12089,0.679750736
0500000US12091,"Okaloosa County, Florida",167550,124986,39701,12091,0.745962399
0500000US12093,"Okeechobee County, Florida",32413,22350,5652,12093,0.689538148
0500000US12095,"Orange County, Florida",1132835,889094,239160,12095,0.784839805
0500000US12097,"Osceola County, Florida",298992,227663,71083,12097,0.761435089
0500000US12099,"Palm Beach County, Florida",1229967,812731,210600,12099,0.660774639
0500000US12101,"Pasco County, Florida",451934,305410,88642,12101,0.675784517
0500000US12103,"Pinellas County, Florida",821788,549217,161678,12103,0.668319567
0500000US12105,"Polk County, Florida",572645,395315,113985,12105,0.690331706
0500000US12107,"Putnam County, Florida",58900,39325,9979,12107,0.667657046
0500000US12109,"St. Johns County, Florida",214393,147893,37337,12109,0.689821962
0500000US12111,"St. Lucie County, Florida",267582,175543,54396,12111,0.656034412
0500000US12113,"Santa Rosa County, Florida",148401,110191,37706,12113,0.742521951
0500000US12115,"Sarasota County, Florida",375841,204161,57584,12115,0.543211092
0500000US12117,"Seminole County, Florida",380803,285923,82316,12117,0.750842299
0500000US12119,"Sumter County, Florida",119197,43665,12183,12119,0.366326334
0500000US12121,"Suwannee County, Florida",35818,24126,5785,12121,0.673571947
0500000US12123,"Taylor County, Florida",18076,12715,3112,12123,0.703418898
0500000US12125,"Union County, Florida",13298,10105,2571,12125,0.759888705
0500000US12127,"Volusia County, Florida",462539,304862,99177,12127,0.659105502
0500000US12129,"Wakulla County, Florida",27196,20695,6217,12129,0.760957494
0500000US12131,"Walton County, Florida",59976,42865,12653,12131,0.714702548
0500000US12133,"Washington County, Florida",20511,15295,4209,12133,0.745697431
