State,Per Capita Enerfgy Related Carbon Dioxide Emissions
Alabama,19.6
Alaska,49.1
Arizona,11.2
Arkansas,18.2
California,7.7
Colorado,13.8
Connecticut,9.4
Delaware,12.6
District of Columbia,3.5
Florida,9.6
Georgia,10.9
Hawaii,10.3
Idaho,10.5
Illinois,13.3
Indiana,22.7
Iowa,20.6
Kansas,19.7
Kentucky,22.6
Louisiana,39.4
Maine,9.9
Maryland,7.8
Massachusetts,7.4
Michigan,13.6
Minnesota,13.7
Mississippi,21.4
Missouri,17.7
Montana,24.1
Nebraska,23.7
Nevada,11.6
New Hampshire,9.0
New Jersey,9.0
New Mexico,21.3
New York,7.1
North Carolina,10.2
North Dakota,69.6
Ohio,15.7
Oklahoma,21.1
Oregon,8.8
Pennsylvania,14.9
Rhode Island,9.0
South Carolina,12.4
South Dakota,16.8
Tennessee,12.0
Texas,21.4
Utah,17.5
Vermont,8.4
Virginia,11.4
Washington,8.9
West Virginia,43.0
Wisconsin,14.8
Wyoming,96.4
,
