X,Y,objectid,pws_id,pws_type,county,owner,federal_id,state_id,source_name,well_yield_gpm,well_depth,reg_name,system_name,system_address,system_city,system_state,system_zip,system_connections,system_population,owner_address,owner_city,owner_state,owner_zip,wsw_class,intake_location,source_availability,source_type,pws_type_description
302695.23149742,202848.97090034,1,NC1011069   ,Adjacent,BUNCOMBE,"WALTERS, DON",77884,W01,WELL #1,20,800,ASHEVILLE REGIONAL OFFICE,MOUNTAIN RETREAT MHP 1,38 ENTERPRISE DR,FAIRVIEW,NC,28730,11,23,P. O. BOX 2406,FAIRVIEW,NC,28730,,,Permanent,Groundwater,"(State Definition) 2+ systems that are adjacent, owned or operated by same supplier of water, and together serve 15+ connections or 25+ people."
302639.015297418,202810.262000343,2,NC1011070   ,Adjacent,BUNCOMBE,"WALTERS, DON",77881,W02,WELL #2,20,465,ASHEVILLE REGIONAL OFFICE,MOUNTAIN RETREAT MHP 2,38 ENTERPRISE DR.,FAIRVIEW,NC,28730,12,24,P. O. BOX 2406,FAIRVIEW,NC,28730,,,Permanent,Groundwater,"(State Definition) 2+ systems that are adjacent, owned or operated by same supplier of water, and together serve 15+ connections or 25+ people."
302541.848797417,202887.727100343,3,NC1011071   ,Adjacent,BUNCOMBE,"WALTERS, DON",77878,W03,WELL #3,10,735,ASHEVILLE REGIONAL OFFICE,MOUNTAIN RETREAT MHP 3,38 ENTERPRISE DR.,FAIRVIEW,NC,28730,11,22,P. O. BOX 2406,FAIRVIEW,NC,28730,,,Permanent,Groundwater,"(State Definition) 2+ systems that are adjacent, owned or operated by same supplier of water, and together serve 15+ connections or 25+ people."
351475.351397417,230771.278800344,4,NC1012034   ,Non-Community Transient,BURKE,BURKE COUNTY RECREATION DEPARTMENT,77764,W01,WELL #1,7,300,ASHEVILLE REGIONAL OFFICE,FONTA FLORA COUNTY PARK,1025 EAGLES NEST WAY,MORGANTON,NC,28680,1,40,PO BOX 219,MORGANTON,NC,28680,,,Permanent,Groundwater,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
475168.28329742,131788.573400347,5,NC2090022   ,Non-Community Transient,UNION,AT THE CROSS FELLOWSHIP,77790,S01,WELL #1,10,,MOORESVILLE REGIONAL OFFICE,AT THE CROSS FELLOWSHIP,1924 OLD PAGELAND-MONROE RD,MONROE,NC,28112,2,35,1924 OLD PAGELAND-MONROE RD,MONROE,NC,28112,,,Permanent,Groundwater,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
654715.669297425,109956.314200351,6,NC5009014   ,Non-Community Transient,BLADEN,NC DEPT OF AGRICULTURE & CONSUMER SVCS,77363,W02,WELL #2,66,185,FAYETTEVILLE REGIONAL OFFICE,SOUTHEASTERN CAROLINA CROSSROADS NO.2,1086 SUSIE SAND HILL ROAD,ELIZABETHTOWN,NC,28337,4,35,1616 MAIL SERVICE CENTER,RALEIGH,NC,27699-1616,,,Permanent,Groundwater,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
639603.653397425,54235.2971003521,7,NC7024030,Non-Community Transient,COLUMBUS,RHETSON COMPANIES INC,77977,W01,WELL #1,50,170,WILMINGTON REGIONAL OFFICE,DOLLAR GENERAL STORE #23400,77 SEVEN CREEKS HWY,WHITEVILLE,NC,28472,1,75,2075 JUNIPER LAKE RD.,WEST END,NC,27376,,,Permanent,Groundwater,"Serves 25+ people at least 60 days per year. ex. restaurants, churches, DOT rest areas."
310403.98369742,243564.707400346,8,NC0100010   ,Community,YANCEY,"BURNSVILLE, TOWN OF",39013,S01,CANE RIVER,,,ASHEVILLE REGIONAL OFFICE,"BURNSVILLE, TOWN OF",690 RESERVOIR RD,BURNSVILLE,NC,28714,1576,4003,PO BOX 97,BURNSVILLE,NC,28714,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
393962.087997422,297893.248900343,9,NC0105015   ,Community,ASHE,"JEFFERSON, TOWN OF",39024,S01,SO FORK NEW RIVER,,,WINSTON-SALEM REGIONAL OFFICE,"JEFFERSON, TOWN OF",879 DON WALTERS RD,JEFFERSON,NC,28640,780,1981,PO BOX 67,JEFFERSON,NC,28640,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
301742.811897416,215274.901100341,10,NC0111010   ,Community,BUNCOMBE,"ASHEVILLE, CITY OF",39030,S02,BEE TREE RESERVOIR,,,ASHEVILLE REGIONAL OFFICE,ASHEVILLE CITY OF,3374 NORTH FORK LFT FORK RD,ASHEVILLE,NC,28802,61701,156720,PO BOX 7148,ASHEVILLE,NC,28802,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
288737.288097416,187355.522800339,11,NC0111010   ,Community,BUNCOMBE,"ASHEVILLE, CITY OF",39031,S03,MILLS RIVER,,,ASHEVILLE REGIONAL OFFICE,ASHEVILLE CITY OF,3374 NORTH FORK LFT FORK RD,ASHEVILLE,NC,28802,61701,156720,PO BOX 7148,ASHEVILLE,NC,28802,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
306835.385297416,217320.929900343,12,NC0111010   ,Community,BUNCOMBE,"ASHEVILLE, CITY OF",39032,S01,NORTH FORK RESERVOIR,,,ASHEVILLE REGIONAL OFFICE,ASHEVILLE CITY OF,3374 NORTH FORK LFT FORK RD,ASHEVILLE,NC,28802,61701,156720,PO BOX 7148,ASHEVILLE,NC,28802,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
288776.665297417,187470.897300342,13,NC0111010   ,Community,BUNCOMBE,"ASHEVILLE, CITY OF",72701,S05,FRENCH BROAD,,,ASHEVILLE REGIONAL OFFICE,ASHEVILLE CITY OF,3374 NORTH FORK LFT FORK RD,ASHEVILLE,NC,28802,61701,156720,PO BOX 7148,ASHEVILLE,NC,28802,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
298732.897997422,221735.536600346,14,NC0111015   ,Community,BUNCOMBE,WOODFIN SAN WATER & SEWER DIST,39033,S01,SUGAR FORK,,,ASHEVILLE REGIONAL OFFICE,WOODFIN SANITARY WATER AND SEWER,439 BLACKBERRY INN RD,WEAVERVILLE,NC,28787,3985,10122,PO BOX 8452,ASHEVILLE,NC,28814,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
288175.40929742,231426.821300341,15,NC0111025   ,Community,BUNCOMBE,"WEAVERVILLE, TOWN OF",39034,S04,IVY RIVER,,,ASHEVILLE REGIONAL OFFICE,"WEAVERVILLE, TOWN OF",50 SAMS RD,WEAVERVILLE,NC,28787,3103,7882,30 SOUTH MAIN ST,WEAVERVILLE,NC,28787,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
378221.997797423,227822.107200345,16,NC0112010   ,Community,BURKE,"VALDESE, TOWN OF",39037,S01,LAKE RHODHISS,,,ASHEVILLE REGIONAL OFFICE,"VALDESE, TOWN OF",5105 LAKEVIEW ACRES RD,VALDESE,NC,28690,5300,13462,PO BOX 339,VALDESE,NC,28690,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
362646.480397419,224052.452500345,17,NC0112015   ,Community,BURKE,"MORGANTON, CITY OF",39038,S01,CATAWBA RIVER,,,ASHEVILLE REGIONAL OFFICE,MORGANTON CITY OF,100 COULTER STREET,MORGANTON,NC,28655,10463,26576,PO BOX  3448,MORGANTON,NC,28680,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
465766.495397422,192854.430200342,18,NC0113010   ,Community,CABARRUS,"CONCORD, CITY OF",39041,S02,LAKE CONCORD/COLDWATER CR,,,MOORESVILLE REGIONAL OFFICE,"CONCORD, CITY OF",6935 DAVIDSON HWY (CODDLE CREEK),CONCORD,NC,28027,46002,116845,PO BOX 308,CONCORD,NC,28026,WS-IV,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
455234.859697426,188701.096100343,19,NC0113010   ,Community,CABARRUS,"CONCORD, CITY OF",39042,S03,LAKE DON T HOWELL,,,MOORESVILLE REGIONAL OFFICE,"CONCORD, CITY OF",6935 DAVIDSON HWY (CODDLE CREEK),CONCORD,NC,28027,46002,116845,PO BOX 308,CONCORD,NC,28026,WS-II,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
466393.748097423,193759.219500352,20,NC0113010   ,Community,CABARRUS,"CONCORD, CITY OF",39043,S01,LAKE FISHER/COLDWATER CRK,,,MOORESVILLE REGIONAL OFFICE,"CONCORD, CITY OF",6935 DAVIDSON HWY (CODDLE CREEK),CONCORD,NC,28027,46002,116845,PO BOX 308,CONCORD,NC,28026,WS-IV,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
480790.216197427,187593.830100348,21,NC0113020   ,Community,CABARRUS,"MT PLEASANT, TOWN OF",39045,S01,DUTCH BUFFALO CREEK,,,MOORESVILLE REGIONAL OFFICE,"MOUNT PLEASANT, TOWN OF",8700 FOIL ST,MT PLEASANT,NC,28124,1082,1912,PO BOX 787,MT. PLEASANT,NC,28124,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
385214.476797425,228380.080100344,22,NC0114010   ,Community,CALDWELL,"LENOIR, CITY OF",39046,S01,LAKE RHODHISS,,,ASHEVILLE REGIONAL OFFICE,"LENOIR, CITY OF",5474 WATERWORDS RD,GRANITE FALLS,NC,28630,9800,24892,PO BOX 958,LENOIR,NC,28645,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
388910.251797423,228697.141900348,23,NC0114030   ,Community,CALDWELL,"GRANITE FALLS, TOWN OF",39048,S01,LAKE RHODHISS,,,ASHEVILLE REGIONAL OFFICE,"GRANITE FALLS, TOWN OF",100 LAKESIDE AVE,GRANITE FALLS,NC,28630,2881,7318,PO DRAWER 10,GRANITE FALLS,NC,28630,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
394915.918997421,225556.143100344,24,NC0118010   ,Community,CATAWBA,HICKORY CITY OF,39049,S01,CATAWBA RIV/LAKE HICKORY,,,MOORESVILLE REGIONAL OFFICE,HICKORY CITY OF,1560 OLD LENIOR RD,HICKORY,NC,28601,28799,64797,PO BOX 398,HICKORY,NC,28603,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
405821.538197422,213678.616400342,25,NC0118015   ,Community,CATAWBA,"NEWTON, CITY OF",39051,S02,CITY LAKE,,,MOORESVILLE REGIONAL OFFICE,"NEWTON, CITY OF",1780 HWY 10 WEST,NEWTON,NC,28658,6265,15913,PO BOX 550,NEWTON,NC,28658,WS-IV,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
